Alliance
CommanderUnit,MountainKing,180
CavalryUnit,Knight,100
CavalryUnit,Knight,100
CavalryUnit,Knight,100
CavalryUnit,Knight,100
CavalryUnit,Knight,100
CavalryUnit,Knight,100
CavalryUnit,Knight,100
CavalryUnit,Knight,100
CavalryUnit,Knight,100
CavalryUnit,Knight,100
RangedUnit,Archer,100
RangedUnit,Archer,100
RangedUnit,Archer,100
RangedUnit,Archer,100
RangedUnit,Archer,100
RangedUnit,Archer,100
RangedUnit,Archer,100
RangedUnit,Archer,100
RangedUnit,Archer,100
RangedUnit,Archer,100
RangedUnit,Archer,100
RangedUnit,Archer,100
RangedUnit,Archer,100
RangedUnit,Archer,100
RangedUnit,Archer,100
