Alliance
CommanderUnit,MountainKing,180
InfantryUnit,Footman,100
InfantryUnit,Footman,100
UnknownUnit,Footman,100
InfantryUnit,Footman,100
InfantryUnit,Footman,100
InfantryUnit,Footman,100
InfantryUnit,Footman,100
InfantryUnit,Footman,100
InfantryUnit,Footman,100
InfantryUnit,Footman,100
CavalryUnit,Knight,100
CavalryUnit,Knight,100
UnknownUnit,Knight,100
CavalryUnit,Knight,100
CavalryUnit,Knight,100
CavalryUnit,Knight,100
CavalryUnit,Knight,100
CavalryUnit,Knight,100
CavalryUnit,Knight,100
CavalryUnit,Knight,100
RangedUnit,Archer,100
RangedUnit,Archer,100
RangedUnit,Archer,100
RangedUnit,Archer,100
RangedUnit,Archer,100
RangedUnit,Archer,100
RangedUnit,Archer,100
RangedUnit,Archer,100
RangedUnit,Archer,100
RangedUnit,Archer,100
RangedUnit,Archer,100
RangedUnit,Archer,100
RangedUnit,Archer,100
RangedUnit,Archer,100
RangedUnit,Archer,100
