Horde
CommanderUnit,Gul'dan,180
InfantryUnit,Grunt,100
InfantryUnit,Grunt,100
InfantryUnit,Grunt,100
InfantryUnit,Grunt,100
InfantryUnit,Grunt,100
CavalryUnit,Raider,100
CavalryUnit,Raider,100
CavalryUnit,Raider,100
CavalryUnit,Raider,100
CavalryUnit,Raider,100
CavalryUnit,Raider,100
CavalryUnit,Raider,100
CavalryUnit,Raider,100
CavalryUnit,Raider,100
CavalryUnit,Raider,100
RangedUnit,SpearOrc,100
RangedUnit,SpearOrc,100
RangedUnit,SpearOrc,100
RangedUnit,SpearOrc,100
RangedUnit,SpearOrc,100
RangedUnit,SpearOrc,100
RangedUnit,SpearOrc,100
RangedUnit,SpearOrc,100
RangedUnit,SpearOrc,100
RangedUnit,SpearOrc,100
